duration,num_days_mean,hb_drop_mean,hb_drop_95_lower,hb_drop_95_upper
10 days,11.55,4.758421851430021,2.769328028250449,6.86344712221123
14 days,15.75,4.389240901183807,2.43644072760444,6.4767681249898725
